address,vested,award,unlockSchedule,lumpSumMonth
0x0001AB6D7983e858D37E9A4F83f2ed52976980fE,713500000000000000000,713500000000000000000,1,0
0x0001aB70411E7ECBCCD82E18B0Ab1703A74Efdf8,78200000000000000000,78200000000000000000,1,0
0x0001aBAa589Ae345fd5FEde5f3831BE0310f7F6c,1290000000000000000000,1290000000000000000000,1,0
0x0001aC4b892643EA9Ffe09372896607d5687528f,500000000000000000000000,500000000000000000000000,1,32
0x0001B28672ef8d1EA854e8599690a364d0a1Cda9,50000000000000000000000,50000000000000000000000,3,
0x0001b38c0a45FEc32DEb2C6b9D9834a85FFcDE09,500000000000000000000000,500000000000000000000000,1,0
0x0001b4941ca835639171bCFC08B28e8FedA86a43,951640675202512000000,951640675202512000000,1,0
0x0001b849f1090a2d24c08BdEe95500302CD8D0C6,43194601635283300000,43194601635283300000,1,0
0x0001bAd72663978F9549067EF803540C517990BB,148800000000000000000,148800000000000000000,1,0
0x0001bE992f5232aB0fF2C103dd6B232EAaF88b6b,500000000000000000000000,500000000000000000000000,1,36
0x0001bEf3D58959A776c4557238A69957a124c4C6,1987500000000000000000,1987500000000000000000,1,0
0x0001c2c196fe3BdBd67446ddD9638c0f926Cc9fB,759340000000000000000,759340000000000000000,1,0
0x0001c462EA53dC6e4f1647afCFFE247DAe60ee14,1118500000000000000000,1118500000000000000000,1,0
0x0001c4E8fA4595a4651eFa226b3F717c632b0CEC,437000000000000000000,437000000000000000000,1,0
0x0001C51dE232F7431De36aFe71a0cbd7af52e02a,18945000000000000000000,18945000000000000000000,1,0
0x0001c526075599F36da76704b3B4750EA7C449B4,16213000000000000000000,16213000000000000000000,1,0
0x0001c585434ED5946E2b834F56Ff769fb7ace901,6557248585127200000000,6557248585127200000000,1,0
0x0001C694542b52A818CCaDe7D769Bae482FF369e,309000000000000000000,309000000000000000000,1,0
0x0001c7289895eEC209D0504526111Cd1dCE4AfF1,6000000000000000000000,6000000000000000000000,1,0
0x0001c737A58Bd369B3C542D3A92dC22266f615dF,1097676250000000000000,1097676250000000000000,1,0
0x0001cA6df894Cffb4f5cBfE06e6047E2EBD504Fe,940500000000000000000,940500000000000000000,1,0
0x0001Ca8B5f21358607f1863Fd32A3dE8112561d6,122000000000000000000,122000000000000000000,1,0
0x0001cE979b8a6cdf69c37715bB96CE5ae58D0103,282281164539537000000,282281164539537000000,1,0
0x0001d0b65e73457afAf3bcF1F43D57671Ca35141,1500000000000000000000,1500000000000000000000,2,
0x0001d101dfa63E3624A226A2F46aFFC4FD47583B,1039297600000000000000,1039297600000000000000,1,0
0x0001D11C20e2495f05680f182EB553F90d3BaA3e,500000000000000000000000,500000000000000000000000,1,12
0x0001d3524d15e4D639D9D8631a6203e134ae04c0,500000000000000000000000,500000000000000000000000,3,
0x0001D874303FcEd21BedAaAbaE19f38fED21667b,500000000000000000000000,500000000000000000000000,1,47
0x0001D928F0Edbd16dd57B957628A2918BC09f43d,94800000000000000000,94800000000000000000,1,0
0x0001d9786979eeDd0e83f0f160fCC59B9027d1fa,1034000000000000000000,1034000000000000000000,1,0
0x0001dC46b0fAfCb960EC640FA1FC9a785aE341f5,835000000000000000000,835000000000000000000,1,0
0x0001dd12684D56B661588697ce0F0B8310D3b15a,57000000000000000000,57000000000000000000,1,0
0x0001DE40934901c47E4ccD87AaF1aD9E6D10CB51,500000000000000000000000,500000000000000000000000,1,36
0x0001DEF7d7FEffA544d79a86146fbAE55684e864,5259892556135250000,5259892556135250000,1,0
0x0001e152D62BE2b34a62a00dfA545567F3a635BE,121322245228271000000,121322245228271000000,1,0
0x0001E19cf1679869040bA4bA3CCE638E53c1B8BA,63000000000000000000,63000000000000000000,1,0
0x0001E2BC28Be82b0E88Cef1F46EAC1d16A40365E,6073000000000000000000,6073000000000000000000,1,0
0x0001E53398988D9ea5114FdC69ae2844C2D6E6CA,10000000000000000000000000,10000000000000000000000000,2,
